ExperimentID;Network;Section;Element;@timestamp;q
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:17.314";7.17002
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:17.464";7.0488
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:17.614";6.53232
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:17.764";5.86401
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:17.914";5.67476
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.064";5.95774
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.214";6.18588
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.364";6.149
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.514";6.03819
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.664";5.99687
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.814";5.98939
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:18.964";5.97043
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.114";5.97644
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.264";6.10083
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.414";6.45064
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.564";7.04546
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.714";7.67927
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:19.864";7.96736
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.014";7.68297
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.164";7.07145
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.314";6.69919
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.464";6.88344
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.614";7.3521
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.764";7.59166
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:20.914";7.4375
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.064";7.14832
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.214";6.98132
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.364";6.93972
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.514";6.9694
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.664";7.17556
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.814";7.69057
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:21.964";8.41759
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.114";9.03938
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.264";9.2799
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.414";9.10502
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.564";8.68752
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.714";8.23758
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:22.864";7.87395
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.014";7.60662
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.164";7.40104
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.314";7.25008
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.464";7.18093
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.614";7.19354
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.764";7.22148
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:23.914";7.19366
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.064";7.13105
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.214";7.13011
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.364";7.2243
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.514";7.30465
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.664";7.22156
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.814";6.94127
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:24.964";6.56049
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.114";6.18811
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.264";5.8686
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.414";5.62343
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.564";5.50756
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.714";5.57861
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:25.864";5.82333
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.014";6.14995
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.164";6.46109
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.314";6.71885
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.464";6.93831
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.614";7.138
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.764";7.30765
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:26.914";7.41322
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.064";7.4228
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.214";7.33451
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.364";7.19238
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.514";7.07614
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.664";7.06049
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.814";7.16654
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:27.964";7.34739
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.114";7.52694
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.264";7.66064
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.414";7.76523
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.564";7.89381
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.714";8.07867
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:28.864";8.29074
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.014";8.45215
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.164";8.49157
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.314";8.39081
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.464";8.18254
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.614";7.91405
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.764";7.62398
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:29.914";7.35
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.064";7.13936
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.214";7.03281
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.364";7.03461
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.514";7.10574
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.664";7.18996
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.814";7.24451
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:30.964";7.24939
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.114";7.20053
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.264";7.10646
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.414";6.98944
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.564";6.87553
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.714";6.77114
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:31.864";6.65053
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.014";6.47777
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.164";6.25061
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.314";6.02415
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.464";5.88665
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.614";5.90381
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.764";6.0777
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:32.914";6.35188
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.064";6.65165
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.214";6.92054
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.364";7.12861
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.514";7.26202
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.664";7.31768
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.814";7.30868
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:33.964";7.26607
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.114";7.22526
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.264";7.20733
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.414";7.2143
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.564";7.24194
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.714";7.29344
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:34.864";7.37882
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.014";7.5033
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.164";7.65952
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.314";7.83066
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.464";7.9977
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.614";8.1411
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.764";8.2383
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:35.914";8.26506
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:36.064";8.20464
"2020-02-13T18:57:17.077";"Network1";"Section1";"VS";"2020-02-13T18:57:36.214";8.05851
