ExperimentID;Network;Section;Element;@timestamp;qm
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:17.296";0.0175
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:17.446";0.0472243
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:17.596";0.0667299
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:17.746";0.0824018
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:17.896";0.08943
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.046";0.0937702
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.196";0.0979615
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.346";0.100871
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.496";0.10309
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.646";0.105891
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.796";0.112136
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:18.946";0.126368
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.096";0.148009
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.246";0.166851
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.396";0.173827
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.546";0.170272
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.696";0.163988
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.846";0.161157
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:19.996";0.160118
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:20.146";0.154784
"2020-02-13T18:57:17.077";"Network1";"Section1";"AM";"2020-02-13T18:57:20.296";0.144141
