ExperimentID;Network;Section;Element;@timestamp;qm
"2020-02-14T08:21:03.559";"Network1";"Section1";"AM";"2020-02-14T08:21:03.784";0.0175
"2020-02-14T08:21:03.559";"Network1";"Section1";"AM";"2020-02-14T08:21:03.934";0.0590554
